produksi_ton,solar_liter,listrik_kWh,jam_operasi,alat_berat,emisi_CO2e
16524.0,7009.0,30616.0,474.0,20.0,25807.0
9800.0,4117.0,20284.0,477.0,12.0,16890.0
18752.0,7132.0,25472.0,460.0,23.0,28520.0
19703.0,9711.0,33779.0,435.0,24.0,32560.0
5245.0,2483.0,10745.0,433.0,6.0,9531.0
8489.0,2470.0,15447.0,422.0,,13361.0
15639.0,4455.0,35035.0,433.0,19.0,23216.0
13419.0,6608.0,17810.0,438.0,16.0,22468.0
14916.0,5496.0,19286.0,288.0,18.0,21637.0
10735.0,5155.0,21801.0,337.0,13.0,17673.0
19397.0,10243.0,39953.0,318.0,24.0,33557.0
18889.0,6099.0,32905.0,489.0,23.0,27251.0
,4735.0,,532.0,,22868.0
20636.0,12742.0,41759.0,226.0,25.0,
17338.0,8411.0,26974.0,525.0,21.0,29272.0
10704.0,4368.0,16997.0,407.0,13.0,17576.0
16844.0,6007.0,31277.0,481.0,21.0,25264.0
10206.0,4072.0,21138.0,441.0,12.0,
19392.0,6418.0,28123.0,515.0,24.0,
14750.0,7941.0,25675.0,417.0,18.0,25557.0
14076.0,5241.0,24305.0,291.0,17.0,21972.0
11595.0,,,392.0,14.0,20861.0
21113.0,8655.0,37948.0,441.0,,34907.0
14227.0,4918.0,23279.0,383.0,17.0,21122.0
12858.0,5238.0,27961.0,,16.0,21129.0
13239.0,2648.0,21689.0,395.0,16.0,17284.0
17662.0,7734.0,30243.0,352.0,22.0,28752.0
,7286.0,22255.0,,21.0,26630.0
17064.0,9086.0,27061.0,369.0,21.0,28709.0
17154.0,4484.0,33533.0,416.0,21.0,24056.0
25708.0,14556.0,48747.0,243.0,32.0,45147.0
12968.0,6900.0,25675.0,338.0,16.0,23243.0
12439.0,7155.0,24446.0,240.0,15.0,21367.0
10931.0,4861.0,26522.0,351.0,13.0,18127.0
18080.0,9969.0,,496.0,22.0,32547.0
20645.0,,27131.0,305.0,25.0,28822.0
14430.0,7523.0,21427.0,456.0,18.0,24956.0
10799.0,4027.0,17159.0,628.0,13.0,18117.0
10878.0,3099.0,16400.0,516.0,13.0,15521.0
18253.0,6162.0,33368.0,411.0,22.0,26743.0
18716.0,8433.0,40723.0,469.0,23.0,
17716.0,6512.0,40071.0,290.0,22.0,27725.0
11672.0,5692.0,22776.0,274.0,14.0,20136.0
16161.0,4350.0,39471.0,,20.0,
15583.0,3698.0,26384.0,432.0,19.0,21438.0
16093.0,9451.0,21086.0,488.0,20.0,29357.0
,,40959.0,354.0,24.0,33539.0
16118.0,5562.0,20122.0,415.0,20.0,24172.0
18395.0,8272.0,28944.0,413.0,22.0,30113.0
15338.0,8466.0,30001.0,389.0,19.0,
16446.0,8090.0,29097.0,394.0,20.0,27568.0
,8440.0,31641.0,332.0,22.0,29354.0
7714.0,4316.0,11153.0,422.0,9.0,14825.0
13402.0,5051.0,24080.0,416.0,16.0,21630.0
,5731.0,26575.0,365.0,15.0,20762.0
11806.0,5291.0,21321.0,453.0,14.0,19178.0
13624.0,5759.0,21130.0,482.0,17.0,22676.0
22475.0,9238.0,32043.0,454.0,28.0,34066.0
10671.0,4880.0,16616.0,317.0,13.0,16704.0
19841.0,8997.0,38050.0,408.0,24.0,32176.0
6586.0,2273.0,12533.0,327.0,8.0,10474.0
13326.0,7065.0,20786.0,408.0,16.0,
15814.0,5572.0,17977.0,327.0,19.0,23291.0
17931.0,,34535.0,502.0,22.0,29158.0
,7802.0,28404.0,463.0,23.0,29091.0
18967.0,9214.0,,492.0,23.0,32984.0
13256.0,3156.0,20854.0,484.0,16.0,18748.0
12688.0,,19078.0,378.0,15.0,22581.0
19290.0,7375.0,35608.0,366.0,24.0,28840.0
14043.0,8033.0,35211.0,539.0,17.0,25265.0
8622.0,,17456.0,387.0,10.0,14384.0
9334.0,4155.0,17182.0,292.0,11.0,
10403.0,6672.0,19845.0,481.0,13.0,19558.0
17486.0,7384.0,22289.0,412.0,21.0,27438.0
15712.0,9017.0,22992.0,520.0,19.0,27435.0
18452.0,8376.0,19315.0,419.0,23.0,28983.0
12864.0,6323.0,29831.0,398.0,16.0,22268.0
15793.0,7217.0,,522.0,,26357.0
18128.0,9695.0,34767.0,277.0,22.0,30305.0
13453.0,5132.0,24761.0,353.0,16.0,20220.0
17284.0,6077.0,23066.0,329.0,21.0,24465.0
11690.0,4514.0,20274.0,,14.0,18143.0
,6065.0,30822.0,470.0,16.0,22713.0
13091.0,5602.0,24080.0,355.0,16.0,21391.0
9021.0,4700.0,14709.0,472.0,11.0,15677.0
17435.0,,22187.0,431.0,21.0,31162.0
12653.0,4459.0,28015.0,449.0,,20138.0
15062.0,5673.0,26796.0,364.0,18.0,23157.0
17404.0,5332.0,22155.0,339.0,21.0,24528.0
17233.0,11254.0,26241.0,407.0,21.0,31643.0
18327.0,8805.0,25964.0,474.0,22.0,30316.0
14508.0,7224.0,25540.0,396.0,18.0,25360.0
12884.0,4071.0,23992.0,344.0,16.0,19600.0
14601.0,6569.0,24078.0,304.0,18.0,23372.0
6563.0,3288.0,13344.0,416.0,8.0,12198.0
7764.0,3298.0,,356.0,9.0,12350.0
8387.0,4676.0,17768.0,394.0,10.0,15795.0
10014.0,6821.0,16952.0,381.0,12.0,19013.0
16999.0,6040.0,46128.0,364.0,21.0,26711.0
10473.0,,17077.0,424.0,13.0,17665.0
13109.0,4748.0,20044.0,444.0,16.0,19867.0
21496.0,13126.0,32075.0,557.0,26.0,40354.0
13219.0,7326.0,22957.0,461.0,16.0,23783.0
18688.0,8156.0,23997.0,527.0,23.0,29474.0
10332.0,4687.0,19510.0,335.0,12.0,16745.0
13973.0,5147.0,17164.0,272.0,17.0,21948.0
10250.0,5525.0,18947.0,399.0,12.0,18485.0
,5482.0,18555.0,469.0,16.0,20923.0
19202.0,8141.0,32366.0,456.0,24.0,30416.0
6363.0,3251.0,12608.0,497.0,7.0,12105.0
17172.0,7405.0,42779.0,200.0,21.0,27495.0
16189.0,6905.0,23904.0,500.0,20.0,26124.0
12029.0,5426.0,21110.0,427.0,15.0,20860.0
7770.0,4114.0,12298.0,276.0,9.0,12990.0
15361.0,9441.0,23641.0,458.0,19.0,28412.0
12353.0,6282.0,19585.0,414.0,15.0,21139.0
16163.0,8572.0,33090.0,430.0,20.0,27930.0
15109.0,6497.0,24984.0,480.0,18.0,24980.0
23009.0,8725.0,56942.0,434.0,28.0,35158.0
13803.0,7114.0,26568.0,282.0,17.0,22292.0
9883.0,4616.0,14794.0,,12.0,16692.0
15896.0,4892.0,26865.0,271.0,19.0,22643.0
16100.0,6717.0,25107.0,452.0,20.0,24885.0
21796.0,9627.0,44464.0,512.0,27.0,34613.0
19176.0,7650.0,25089.0,301.0,23.0,30020.0
16784.0,10040.0,23460.0,346.0,20.0,29997.0
22317.0,11113.0,36209.0,329.0,27.0,36769.0
9056.0,5319.0,18157.0,364.0,11.0,17850.0
11801.0,5621.0,25608.0,433.0,14.0,20737.0
10367.0,4750.0,,365.0,12.0,18396.0
13051.0,4651.0,25566.0,452.0,16.0,19691.0
8117.0,3662.0,,485.0,10.0,13467.0
,8203.0,37049.0,488.0,22.0,30267.0
,4351.0,20231.0,311.0,17.0,20212.0
7646.0,3028.0,,511.0,9.0,13329.0
9922.0,4144.0,19159.0,517.0,12.0,15837.0
16568.0,8140.0,24823.0,524.0,20.0,28245.0
19191.0,9521.0,,387.0,23.0,32522.0
24984.0,9790.0,45867.0,340.0,31.0,38635.0
29569.0,14693.0,55426.0,321.0,36.0,48495.0
17072.0,7372.0,35533.0,312.0,21.0,27602.0
10052.0,2010.0,20603.0,401.0,12.0,13545.0
4340.0,1743.0,8065.0,468.0,5.0,7757.0
